电影名,电影链接,电影详情,工作人员,评论人数,豆瓣评分
侧耳倾听,https://movie.douban.com/subject/1297052/,1995 / 日本 / 剧情 爱情 动画,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,259246人评价,8.9
红辣椒,https://movie.douban.com/subject/1865703/,2006 / 日本 / 动画 悬疑 科幻 惊悚,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,213153人评价,9
驯龙高手,https://movie.douban.com/subject/2353023/,2010 / 美国 / 动画 奇幻 冒险,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,442741人评价,8.7
倩女幽魂,https://movie.douban.com/subject/1297447/,1987 / 中国香港 / 爱情 奇幻 武侠 古装,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,403928人评价,8.7
杀人回忆,https://movie.douban.com/subject/1300299/,2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,322753人评价,8.8
海蒂和爷爷,https://movie.douban.com/subject/25958717/,2015 / 德国 瑞士 南非 / 剧情 冒险 家庭,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,147228人评价,9.1
幸福终点站,https://movie.douban.com/subject/1292274/,2004 / 美国 / 喜剧 剧情 爱情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,312943人评价,8.7
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,419456人评价,8.7
萤火之森,https://movie.douban.com/subject/5989818/,2011 / 日本 / 剧情 爱情 动画 奇幻,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,265469人评价,8.8
超脱,https://movie.douban.com/subject/5322596/,2011 / 美国 / 剧情,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,259156人评价,8.8
恐怖直播,https://movie.douban.com/subject/21360417/,2013 / 韩国 / 剧情 犯罪 悬疑,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,353091人评价,8.8
7号房的礼物,https://movie.douban.com/subject/10777687/,2013 / 韩国 / 剧情 喜剧 家庭,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,280572人评价,8.8
菊次郎的夏天,https://movie.douban.com/subject/1293359/,1999 / 日本 / 剧情 喜剧,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,287729人评价,8.8
上帝之城,https://movie.douban.com/subject/1292208/,2002 / 巴西 法国 / 犯罪 剧情,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,201552人评价,8.9
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,2010 / 日本 / 动画 奇幻 冒险,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,311565人评价,8.8
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1993 / 香港 / 喜剧 爱情 古装,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,553155人评价,8.6
超能陆战队,https://movie.douban.com/subject/11026735/,2014 / 美国 / 喜剧 动作 科幻 动画 冒险,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,571899人评价,8.6
小森林 冬春篇,https://movie.douban.com/subject/25814707/,2015 / 日本 / 剧情,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,198677人评价,9
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,2004 / 美国 / 剧情 爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,287835人评价,8.8
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,412437人评价,8.7
风之谷,https://movie.douban.com/subject/1291585/,1984 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,247469人评价,8.8
神偷奶爸,https://movie.douban.com/subject/3287562/,2010 / 美国 法国 / 喜剧 动画 冒险,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,578788人评价,8.6
无人知晓,https://movie.douban.com/subject/1292337/,2004 / 日本 / 剧情,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,135600人评价,9.1
怪兽电力公司,https://movie.douban.com/subject/1291579/,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,367226人评价,8.7
电锯惊魂,https://movie.douban.com/subject/1417598/,2004 / 美国 / 悬疑 惊悚 恐怖,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,290894人评价,8.7
玩具总动员3,https://movie.douban.com/subject/1858711/,2010 / 美国 / 喜剧 动画 奇幻 冒险,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,281876人评价,8.8
岁月神偷,https://movie.douban.com/subject/3792799/,2010 / 中国香港 中国大陆 / 剧情 家庭,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,396898人评价,8.7
血战钢锯岭,https://movie.douban.com/subject/26325320/,2016 / 美国 澳大利亚 / 剧情 传记 历史 战争,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,477320人评价,8.7
谍影重重3,https://movie.douban.com/subject/1578507/,2007 / 美国 德国 / 动作 悬疑 惊悚,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,256992人评价,8.8
