项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
3#楼人才公共租赁住房等2项、4#住宅等11项（昌平区北七家镇（未来科技城南区）CP07-0600-0022、0039、0040地块F2公建混合住宅用地（配建人才公共租赁住房）项目—智能化工程,2019F20005479,北京益泰牡丹电子工程有限责任公司,丁燕,2019-06-28 00:00:00.0,100000.00
北京地铁六号线西延工程土建施工06合同段苹果园站过街通道竖井及横通道格栅加工工程劳务施工,2019F20005447,中铁十四局集团有限公司,/,2019-06-28 00:00:00.0,700000.00
北京地铁能源控制中心（能耗统计与监测平台）项目,2019F20005728,北京城建安装集团有限公司,李建武,2019-06-28 00:00:00.0,399840.00
北京城市副中心潞阳大街(通济路~畅和西路)、潞阳大街(畅和西路路口)、潞阳大街(畅和西路~畅和东路)管廊工程及潞阳大街(通济路~畅和东路)道路工程4标-(通济路~畅和西路)管廊主体结构工程,2019Z20001286,北京市政建设集团有限责任公司,刘其铎,2019-06-28 00:00:00.0,4660221.00
2019年第一批市管城市道路、桥梁中修工程项目施工（第9标段）陶然桥等桥梁中修工程（劳务1标）,2019F20005247,北京市市政三建设工程有限责任公司,/,2019-06-28 00:00:00.0,400000.00
北京新机场榆垡小学建设工程（吊顶、块料、楼地面、铁艺、抹灰等工程）,2019Z20001289,北京市市政四建设工程有限责任公司,/,2019-06-28 00:00:00.0,6171827.00
1号线加装直流屏蓄电池在线监测预警系统施工工程,2019F20005729,北京城建安装集团有限公司,李建武,2019-06-28 00:00:00.0,190060.00
中国医学科学院肿瘤医院住院综合楼机电分包工程,2019F20005744,中铁建设集团设备安装有限公司,谭学彪,2019-06-28 00:00:00.0,765384.67
北京市轨道交通新机场线一期工程土建施工09合同段磁各庄车辆段安装工程-运用库电气工程,2019F20005310,北京城建安装集团有限公司,李玉华,2019-06-28 00:00:00.0,601243.00
北京市CBD核心区Z15地块项目外部排水工程,2018F20006012,北京北排建设有限公司,石磊,2019-07-31 00:00:00.0,88729.58
通州区通怀路附属设施中修工程,2019F20005948,北京路桥瑞通养护中心有限公司,王凤平,2019-07-16 00:00:00.0,492564.00
综合体育馆等2项（北京交通大学综合体育馆）-土方工程,2019F20005664,派力工程有限公司,陈进,2019-06-29 00:00:00.0,150000.00
天坛东里中区5号楼合流更新改造工程,2019F20005836,北京北排建设有限公司,石磊,2019-07-16 00:00:00.0,20409.45
东直门外斜街（东直门外大街~新东路）道路环保工程,2019Z20001349,北京市市政六建设工程有限公司,/,2019-07-17 00:00:00.0,3542905.27
2019年静安西街等道路大修工程—2019年静安西街等道路大修工程施工2标-永丰路（北清路--马连洼北路）大修工程,2019Z20001422,北京光亚市政工程有限公司,牛存良,2019-07-17 00:00:00.0,7800315.00
2019年道路日常养护工程,2019Z20001357,北京市政路桥管理养护集团有限公司,李青林,2019-07-17 00:00:00.0,5828000.00
2019年城市道路委托协议-小修工程,2019Z20001356,北京市政路桥管理养护集团有限公司,李青林,2019-07-17 00:00:00.0,8612000.00
阜通东大街花家地南里人行过街天桥工程,2019F20005945,北京市市政六建设工程有限公司,-,2019-07-17 00:00:00.0,499500.00
北京市气象局气象服务能力提升和冬奥气象服务保障工程,2019Z20001383,北京城建集团有限责任公司,陈代华,2019-07-18 00:00:00.0,1904237.00
朝阳公园办公楼东六门附属用房燃气工程,2019F20005958,北京市煤气工程有限公司,张锡勇,2019-07-19 00:00:00.0,50000.00
安定路污水更新改造工程,2019F20005967,北京北排建设有限公司,石磊,2019-07-19 00:00:00.0,74015.80
